Cases,Pop_Estimate,Median_Income,Unemployment,Less_Highschool,Highschool,Associates,Bachelors,PCTPov_All,Pop_Density
692,30860,43493,5.8,23.5,37.5,26.3,12.8,17.7,2.11E-05
692,16702,43493,5.8,23.5,37.5,26.3,12.8,17.7,1.14E-05
432,30074,37591,7.1,16.5,40.9,32.4,10.2,23.3,1.92E-05
432,17424,37591,7.1,16.5,40.9,32.4,10.2,23.3,1.11E-05
217,11820,36930,7.1,18.8,34.9,32.4,13.9,19.3,7.53E-06
217,12674,36930,7.1,18.8,34.9,32.4,13.9,19.3,8.07E-06
1488,38219,46602,8.3,15.1,35.5,28.3,21.1,18.9,1.42E-05
527,16541,38096,7.1,14.9,42.6,28,14.5,19.9,9.00E-06
527,358245,38096,7.1,14.9,42.6,28,14.5,19.9,0.000194889
8980,14622,52158,4.6,15,25.7,26,33.3,15.1,5.99E-06
8980,243216,52158,4.6,15,25.7,26,33.3,15.1,9.97E-05
3051,78729,46388,6.2,15.6,39.3,24.2,20.9,15.4,2.94E-05
3051,5077,46388,6.2,15.6,39.3,24.2,20.9,15.4,1.89E-06
278,53569,36568,5.8,18.3,43.8,23.9,14,27.1,3.52E-05
278,6264,36568,5.8,18.3,43.8,23.9,14,27.1,4.12E-06
1001,9933,44469,5.1,21.8,40,25.3,12.8,15.6,4.12E-06
1001,21181,44469,5.1,21.8,40,25.3,12.8,15.6,8.79E-06
2553,96385,60910,11,21.8,23.3,36.6,18.2,12.8,6.18E-05
1674,64494,51672,8.8,15.5,30.1,38.7,15.7,16.3,8.44E-06
53,12216,43881,8,7.6,34.8,38,19.5,16.5,1.48E-06
13152,468680,56776,13.2,29.2,25.5,30.7,14.6,18.9,3.75E-05
1011,54515,64729,10.4,9.3,28.3,41.9,20.5,11.3,9.48E-06
34977,841387,91446,8.6,15,19.2,32.1,33.8,8.2,0.000176319
4619,219728,70951,7.5,13.5,18.1,27,41.4,16.9,8.36E-05
1786,80160,56607,10.5,17.7,23.6,41.6,17.1,15.2,4.90E-05
4471,169823,51075,8.2,10.3,29.1,38.8,21.8,17.8,2.75E-05
293,6342,65960,5.4,8.1,31.5,37.6,22.7,10.3,7.60E-07
392,11296,48496,7.1,13,32.1,30.5,24.5,14.4,4.78E-06
1122,25560,87691,7.9,3.2,20.2,26.8,49.8,7.2,4.18E-06
107,6938,37004,7,16.9,30.5,30.4,22.1,25.4,8.45E-07
23,748,50524,6.7,6.2,25.8,32.4,35.7,13.7,7.45E-07
478,8105,77209,10.9,3.2,15.3,22.1,59.4,9.9,2.43E-06
75,2260,42808,3.4,13,29.1,38.4,19.5,14.6,1.59E-06
1534,30631,86570,9.8,7.1,18,22.6,52.4,6.4,1.94E-05
657,25529,70599,7.5,2.8,23.2,36.3,37.7,7.9,1.77E-05
102,4875,53263,3.1,8.1,34.5,42,15.4,11.8,7.47E-07
10421,333983,78160,7,11.9,27.3,33.2,27.5,8.4,3.24E-05
324,10047,52841,2.8,11.4,34.4,32.4,21.8,12.8,1.64E-06
18760,570412,55745,7.2,10.5,33.2,32.2,24,11.3,0.00029496
33828,976802,56708,7,8.7,28,31.6,31.7,11.4,0.001377705
30204,744552,51817,9,15,34.7,30.1,20.2,14,0.00015996
2446,74815,41986,7.9,18.2,41.2,28.3,12.3,22.4,3.97E-05
9320,278715,90839,5.3,5.2,21.4,28.7,44.7,6.4,0.000179141
11747,337186,57292,7.8,13.7,33.2,31.5,21.6,10.5,0.000227727
6961,189139,66139,5.2,8.7,26.8,36.8,27.7,9.8,7.21E-05
13778,443465,66258,6.8,6.9,28.9,28.8,35.4,7.8,0.000307474
15606,474171,69954,7.2,5.7,21.1,33.6,39.6,9.3,0.000591719
4178,139018,63464,7.9,7.9,30.4,30,31.8,8.9,9.63E-05
1304,44851,49453,5.6,17.7,38.9,27.9,15.5,17.1,2.51E-05
753,21600,42987,6.2,21.2,43.8,26.6,8.3,19.9,7.99E-06
376,15182,50893,4.7,23.5,37.4,29.9,9.2,19.9,2.41E-05
